fill time utc;[CH4]
13.08.21 03:58;2232
13.08.21 04:18;2207
13.08.21 04:37;2218
13.08.21 05:35;2417
13.08.21 05:54;2314
13.08.21 06:33;2250
13.08.21 06:53;2202
13.08.21 07:12;2199
13.08.21 07:31;2164
13.08.21 08:10;2160
13.08.21 08:29;2158
13.08.21 08:49;2180
13.08.21 09:08;2153
13.08.21 09:47;2118
13.08.21 10:06;2131
13.08.21 10:25;2130
13.08.21 10:45;2079
13.08.21 11:23;2047
13.08.21 11:43;2061
13.08.21 12:02;2074
13.08.21 12:21;2086
13.08.21 13:00;2101
13.08.21 13:20;2142
13.08.21 13:39;2171
13.08.21 13:58;2158
13.08.21 14:37;2123
13.08.21 14:56;2116
13.08.21 15:16;2075
13.08.21 15:35;2057
13.08.21 16:14;2068
13.08.21 16:33;2024
13.08.21 16:52;2037
13.08.21 17:12;2001
13.08.21 17:50;1978
13.08.21 18:10;1962
13.08.21 18:29;2018
13.08.21 18:49;1962
13.08.21 19:27;1963
13.08.21 19:47;2001
13.08.21 20:06;1984
13.08.21 20:25;1992
13.08.21 21:04;2013
13.08.21 21:23;1988
13.08.21 21:43;1993
13.08.21 22:02;1990
13.08.21 22:41;1952
13.08.21 23:00;2029
13.08.21 23:19;2018
13.08.21 23:39;2041
14.08.21 00:17;2049
14.08.21 00:37;2041
14.08.21 00:56;2087
14.08.21 01:16;2120
14.08.21 02:14;2108
14.08.21 02:33;2125
14.08.21 03:12;2138
14.08.21 03:31;2098
14.08.21 03:50;2095
14.08.21 04:10;2088
14.08.21 04:48;2103
14.08.21 05:08;2107
14.08.21 05:27;2081
14.08.21 05:46;2145
14.08.21 06:25;2124
14.08.21 06:44;2092
14.08.21 07:04;2102
14.08.21 07:23;2072
14.08.21 08:02;2054
14.08.21 08:21;2065
14.08.21 08:41;2057
14.08.21 09:00;2046
14.08.21 09:39;2039
14.08.21 09:58;2035
14.08.21 10:17;2010
14.08.21 10:37;2082
14.08.21 11:15;2071
14.08.21 11:35;1994
14.08.21 11:54;2014
14.08.21 12:13;1977
14.08.21 12:52;1968
14.08.21 13:12;2022
14.08.21 13:31;1974
14.08.21 13:50;2025
14.08.21 14:29;2024
14.08.21 14:48;2007
14.08.21 15:08;2047
14.08.21 15:27;2009
14.08.21 16:06;2016
14.08.21 16:25;2017
14.08.21 16:44;2015
14.08.21 17:04;2009
14.08.21 17:42;1994
14.08.21 18:02;1985
14.08.21 18:21;1985
14.08.21 18:40;1954
14.08.21 19:19;1952
14.08.21 19:39;1985
14.08.21 19:58;1967
14.08.21 20:17;1998
14.08.21 20:56;1989
14.08.21 21:15;2043
14.08.21 21:35;2015
14.08.21 21:54;2015
14.08.21 22:52;2035
14.08.21 23:11;2088
14.08.21 23:50;2113
15.08.21 00:09;2096
15.08.21 00:29;2117
15.08.21 00:48;2094
15.08.21 01:27;2098
15.08.21 01:46;2108
15.08.21 02:06;2122
15.08.21 02:25;2119
15.08.21 03:04;2161
15.08.21 03:23;2154
15.08.21 03:42;2157
15.08.21 04:02;2174
15.08.21 04:40;2113
15.08.21 05:00;2083
15.08.21 05:19;2088
15.08.21 05:38;2090
15.08.21 06:17;2133
15.08.21 06:36;2061
15.08.21 06:56;2037
15.08.21 07:15;2030
15.08.21 07:54;2075
15.08.21 08:13;2056
15.08.21 08:33;2051
15.08.21 08:52;2069
15.08.21 09:31;2125
15.08.21 09:50;2207
15.08.21 10:09;2186
15.08.21 10:29;2211
15.08.21 11:07;2198
15.08.21 11:27;2254
15.08.21 11:46;2194
15.08.21 12:05;2225
15.08.21 12:44;2206
15.08.21 13:03;2158
15.08.21 13:23;2163
15.08.21 13:42;2173
15.08.21 14:21;2186
15.08.21 14:40;2238
15.08.21 15:00;2292
15.08.21 15:19;2498
15.08.21 15:58;2101
15.08.21 16:17;2052
15.08.21 16:36;2048
15.08.21 16:56;2051
15.08.21 17:34;2100
15.08.21 17:54;2140
15.08.21 18:13;2121
15.08.21 18:32;2097
15.08.21 19:30;2088
15.08.21 19:50;2075
15.08.21 20:29;2066
15.08.21 20:48;2086
15.08.21 21:07;2090
15.08.21 21:27;2100
15.08.21 22:05;2130
15.08.21 22:25;2146
15.08.21 22:44;2134
15.08.21 23:03;2086
15.08.21 23:42;2015
16.08.21 00:01;2058
16.08.21 00:21;2009
16.08.21 00:40;2014
16.08.21 01:19;2030
16.08.21 01:38;2059
16.08.21 01:57;2074
16.08.21 02:17;2076
16.08.21 02:56;2092
16.08.21 03:15;2194
16.08.21 03:34;2407
16.08.21 03:54;2803
16.08.21 04:32;2092
16.08.21 04:52;2107
16.08.21 05:11;2104
16.08.21 05:30;2077
16.08.21 06:09;2088
16.08.21 06:28;2119
16.08.21 06:48;2068
16.08.21 07:07;2104
16.08.21 07:46;2062
16.08.21 08:05;2082
16.08.21 08:24;2028
16.08.21 08:44;2073
16.08.21 09:23;2109
16.08.21 09:42;2041
16.08.21 10:01;2072
16.08.21 10:21;2041
16.08.21 13:53;2051
16.08.21 14:13;1995
16.08.21 14:32;2041
16.08.21 14:51;2006
16.08.21 15:30;2050
16.08.21 15:50;2046
16.08.21 16:09;1980
16.08.21 16:28;1994
16.08.21 17:07;1944
16.08.21 17:26;1952
16.08.21 17:46;1952
16.08.21 18:05;1962
16.08.21 18:44;1969
16.08.21 19:03;1989
16.08.21 19:22;1972
16.08.21 19:42;1970
16.08.21 20:20;1980
16.08.21 20:40;1999
16.08.21 20:59;2000
16.08.21 21:19;1983
16.08.21 21:57;1994
16.08.21 22:17;2006
16.08.21 22:36;1999
16.08.21 22:55;1970
16.08.21 23:34;1976
16.08.21 23:53;2004
17.08.21 00:13;1994
17.08.21 00:32;1993
17.08.21 01:11;1991
17.08.21 01:30;1967
17.08.21 01:49;1999
17.08.21 02:09;1953
17.08.21 02:48;1987
17.08.21 03:07;1986
17.08.21 03:26;1978
17.08.21 03:46;1975
17.08.21 04:24;1991
17.08.21 04:44;1982
17.08.21 05:03;1969
17.08.21 05:22;1990
17.08.21 06:01;2018
17.08.21 06:20;2006
17.08.21 06:40;1987
17.08.21 06:59;1997
17.08.21 07:38;1985
17.08.21 07:57;1959
17.08.21 08:17;1967
17.08.21 08:36;1956
17.08.21 09:34;2000
17.08.21 09:53;1981
17.08.21 10:32;2000
17.08.21 10:51;1987
17.08.21 11:11;1951
17.08.21 11:30;2001
17.08.21 12:09;1996
17.08.21 12:28;
17.08.21 12:47;1995
17.08.21 13:07;2031
17.08.21 13:46;1984
17.08.21 14:05;1983
17.08.21 14:24;1997
17.08.21 14:44;1999
17.08.21 15:22;1997
17.08.21 15:42;1969
17.08.21 16:01;2005
17.08.21 16:20;1973
17.08.21 16:59;1943
17.08.21 17:18;1980
17.08.21 17:38;1935
17.08.21 17:57;2000
17.08.21 18:36;1985
17.08.21 18:55;1990
17.08.21 19:15;1983
17.08.21 19:34;1987
17.08.21 20:13;1961
17.08.21 20:32;1987
17.08.21 20:51;1969
17.08.21 21:11;2000
17.08.21 21:49;2010
17.08.21 22:09;2033
17.08.21 22:28;2023
17.08.21 22:47;2055
17.08.21 23:26;2077
17.08.21 23:45;2081
