fill time utc;[CH4] 2H;d2H VPDB;sd [CH4];sd d2H
19.08.21 00:55;2011;-93,10;14;0,89
19.08.21 01:34;2034;-94,63;14;0,89
19.08.21 02:51;2033;-94,95;14;0,89
19.08.21 04:09;2014;-90,19;6;0,46
19.08.21 04:47;2026;-93,03;6;0,46
19.08.21 05:26;2047;-96,81;6;0,46
19.08.21 06:05;2066;-96,29;6;0,46
19.08.21 07:22;2017;-92,50;2;0,03
19.08.21 08:01;2046;-95,16;3;0,03
19.08.21 08:40;2006;-91,72;2;0,03
19.08.21 09:18;2013;-92,66;2;0,03
19.08.21 10:36;1958;-89,33;2;0,23
19.08.21 11:14;1955;-88,01;2;0,23
19.08.21 11:53;1972;-88,43;2;0,23
19.08.21 12:32;1960;-88,96;2;0,23
19.08.21 13:49;2008;-91,13;4;0,01
19.08.21 14:28;2020;-92,54;4;0,01
19.08.21 15:07;2002;-92,97;4;0,01
19.08.21 15:45;2004;-91,23;4;0,01
19.08.21 17:03;1969;-88,45;11;0,50
19.08.21 17:41;1958;-86,88;11;0,50
19.08.21 18:20;1976;-88,02;11;0,50
19.08.21 18:59;1963;-88,93;11;0,50
19.08.21 20:16;1984;-90,18;4;0,46
19.08.21 20:55;2002;-92,42;4;0,46
19.08.21 21:34;2019;-92,35;4;0,46
19.08.21 22:12;2010;-91,92;4;0,46
19.08.21 23:30;2055;-95,35;4;0,46
20.08.21 00:47;2119;-102,27;8;0,25
20.08.21 01:26;2141;-104,43;8;0,25
20.08.21 02:05;2132;-105,34;8;0,25
20.08.21 02:43;2105;-102,66;8;0,25
20.08.21 04:01;2052;-96,08;12;0,55
20.08.21 04:39;2095;-100,74;13;0,55
20.08.21 05:18;2073;-98,12;13;0,55
20.08.21 05:57;2020;-92,97;12;0,55
20.08.21 07:14;2086;-99,94;2;0,80
20.08.21 07:53;2319;-121,86;2;0,80
20.08.21 08:32;2578;-138,73;2;0,80
20.08.21 09:10;2155;-106,52;2;0,80
20.08.21 10:28;2068;-97,33;16;0,18
20.08.21 11:07;2076;-98,91;16;0,18
20.08.21 11:45;2052;-97,33;16;0,18
20.08.21 12:24;2026;-93,48;16;0,18
20.08.21 13:41;2009;-91,99;12;0,89
20.08.21 14:20;1998;-89,92;12;0,89
20.08.21 14:59;1945;-88,26;12;0,89
20.08.21 15:37;1964;-86,38;12;0,89
20.08.21 16:55;1975;-86,86;9;0,95
20.08.21 17:34;1969;-85,98;9;0,95
20.08.21 18:12;1974;-86,05;9;0,95
20.08.21 18:51;1982;-86,68;9;0,95
20.08.21 20:08;2000;-88,65;9;0,95
20.08.21 21:26;2075;-92,42;2;1,93
20.08.21 22:05;2075;-93,55;2;1,93
20.08.21 22:43;2098;-96,29;2;1,93
20.08.21 23:22;2127;-99,75;2;1,93
21.08.21 00:39;2109;-100,46;9;0,23
21.08.21 01:18;2099;-100,09;9;0,23
21.08.21 01:57;2109;-102,49;9;0,23
21.08.21 02:35;2097;-100,06;9;0,23
21.08.21 03:53;2056;-96,67;11;0,76
21.08.21 04:32;2134;-103,66;12;0,76
21.08.21 05:10;2063;-96,96;11;0,76
21.08.21 05:49;2043;-95,47;11;0,76
21.08.21 07:06;2079;-96,90;32;0,22
21.08.21 07:45;2071;-96,81;32;0,22
21.08.21 08:24;2106;-100,80;32;0,22
21.08.21 09:02;2064;-94,25;32;0,22
21.08.21 10:20;2092;-99,39;22;0,93
21.08.21 10:59;2042;-93,29;21;0,93
21.08.21 11:37;1994;-93,43;21;0,93
21.08.21 12:16;2003;-90,73;21;0,93
21.08.21 13:33;1977;-87,39;18;1,33
21.08.21 14:12;1955;-87,62;18;1,33
21.08.21 14:51;1974;-88,41;18;1,33
21.08.21 15:30;1953;-89,11;18;1,33
21.08.21 16:47;1975;-90,92;18;1,33
21.08.21 18:04;1984;-89,78;18;1,33
21.08.21 18:43;1997;-89,12;18;1,33
21.08.21 19:22;1984;-91,51;18;1,33
21.08.21 20:00;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
22.08.21 07:37;2051;-97,15;10;1,78
22.08.21 08:16;2050;-93,17;10;1,78
22.08.21 08:55;2036;-93,09;10;1,78
22.08.21 10:12;1984;-90,53;10;1,78
22.08.21 10:51;2014;-90,43;10;1,78
22.08.21 11:29;2032;-92,97;10;1,78
22.08.21 12:08;2022;-92,44;10;1,78
22.08.21 13:26;2017;-92,87;10;1,78
22.08.21 14:43;2032;-94,13;26;1,19
22.08.21 15:22;2014;-93,42;26;1,19
22.08.21 16:00;1975;-91,62;25;1,19
22.08.21 16:39;2017;-95,23;26;1,19
22.08.21 17:57;2026;-94,10;3;2,14
22.08.21 18:35;2025;-94,35;3;2,14
22.08.21 19:14;2019;-94,91;3;2,14
22.08.21 19:53;2039;-95,04;3;2,14
22.08.21 21:10;2011;-92,08;1;0,36
22.08.21 21:49;1988;-91,79;1;0,36
22.08.21 22:27;2002;-90,87;1;0,36
22.08.21 23:06;2001;-92,04;1;0,36
